group,level,seed,medium_of_exchange,emergence_turn,herfindahl_intermediates,indirect_trade_share,mean_deprivation,inventory_gini
transport_sweep,0.0,27,conchas,52,0.24496484314048125,0.09223643727066191,5.327575,0.24304744204062595
transport_sweep,0.0,28,conchas,64,0.24274855843598203,0.09703222138812159,5.339650000000001,0.24569935512735497
transport_sweep,0.0,29,conchas,51,0.24233648354288956,0.09061408604232554,5.34906,0.24059030652087926
transport_sweep,0.0,3,conchas,65,0.23508405658329215,0.09223516949152542,5.3543899999999995,0.23914825017841188
transport_sweep,0.0,4,conchas,65,0.24503275877940806,0.09455714444074936,5.339955,0.24332530605755756
transport_sweep,0.0,5,conchas,51,0.24877559567105292,0.10273972602739725,5.353045,0.24122649795718354
transport_sweep,0.0,6,conchas,73,0.2453090815779264,0.09400916610367557,5.3327800000000005,0.24340201465426786
transport_sweep,0.0,7,conchas,73,0.24999818402430496,0.09067008003723677,5.33628,0.24368674353144457
transport_sweep,0.0,8,conchas,56,0.24560425049512258,0.09906794685015183,5.36115,0.2410484838789632
transport_sweep,0.0,9,conchas,61,0.23798702236184874,0.09699594963553933,5.334515,0.24353160239596797
transport_sweep,0.08,0,conchas,64,0.23228229337806527,0.12608045633323367,5.33366,0.24678256745537666
transport_sweep,0.08,1,conchas,77,0.24091048703768014,0.10374616574704215,5.344535,0.24593047981121305
transport_sweep,0.08,10,conchas,65,0.2333147778491092,0.1141779991921368,5.372415,0.24290863534987722
transport_sweep,0.08,11,conchas,65,0.24338745248520374,0.11459078951567679,5.33231,0.24411478960553762
transport_sweep,0.08,12,conchas,64,0.24263394327832163,0.11113344145373646,5.3305,0.24790747156601095
transport_sweep,0.08,13,conchas,65,0.23884614945275606,0.11267611988107537,5.336645,0.24304663653040282
transport_sweep,0.08,14,conchas,70,0.2358416613718032,0.1279114083958188,5.35822,0.2452910886090768
transport_sweep,0.08,15,conchas,65,0.2461675374438313,0.11271757186190957,5.336195,0.24256162001087397
transport_sweep,0.08,16,conchas,64,0.23536953440958108,0.13050482425913162,5.35529,0.24584036487864858
transport_sweep,0.08,17,conchas,64,0.23831923951608203,0.11728161729718191,5.357495,0.24235224713443465
transport_sweep,0.08,18,conchas,77,0.2414092854880945,0.10695825577128,5.3465549999999995,0.2428534371709322
transport_sweep,0.08,19,conchas,54,0.23762115033978928,0.12309795792352136,5.356509999999999,0.2466087891759059
transport_sweep,0.08,2,conchas,74,0.23696324456921336,0.11289877641824249,5.359204999999999,0.24355737539926248
transport_sweep,0.08,20,conchas,64,0.2435046181199906,0.12106830532263288,5.343165,0.2435295714507637
transport_sweep,0.08,21,conchas,74,0.23647027184435584,0.12411819541700089,5.3565499999999995,0.24388714194384256
transport_sweep,0.08,22,conchas,64,0.26190516490569565,0.11967406907033691,5.364325,0.2399958501535265
transport_sweep,0.08,23,conchas,77,0.24306891263547925,0.11683883884772639,5.3522050000000005,0.24263226461590373
transport_sweep,0.08,24,conchas,75,0.2501372113245118,0.11286202884859299,5.349,0.2441028393810823
transport_sweep,0.08,25,conchas,64,0.23562369923883794,0.12711065685358713,5.3643600000000005,0.24365789528877405
transport_sweep,0.08,26,conchas,64,0.24267223770116933,0.11440177580466149,5.34658,0.2440978986454643
transport_sweep,0.08,27,conchas,65,0.23318395995702387,0.1131315972191705,5.363865,0.24381552323850195
transport_sweep,0.08,28,conchas,73,0.2329844348049197,0.1262091439097484,5.319845,0.24920149121258411
transport_sweep,0.08,29,conchas,73,0.24907741859145982,0.11527252204324455,5.336865,0.2429266070807283
transport_sweep,0.08,3,conchas,72,0.2405358505561162,0.11401765126818796,5.363925,0.23960899602567956
transport_sweep,0.08,4,conchas,64,0.24522319132063453,0.11831790915364607,5.34677,0.2442260267405732
transport_sweep,0.08,5,conchas,64,0.2422651356574076,0.11366967642513318,5.3483,0.24264237259166596
transport_sweep,0.08,6,conchas,73,0.23265312726784645,0.12219114713159507,5.339555000000001,0.24710514237274467
transport_sweep,0.08,7,conchas,68,0.23616536820838444,0.11512305851990694,5.338855,0.245955871921506
transport_sweep,0.08,8,conchas,64,0.23954743294492575,0.11359946977628786,5.318745,0.2450419522149488
transport_sweep,0.08,9,conchas,74,0.2457218724676272,0.10903221676588662,5.331989999999999,0.24470519096990695
